login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
orta,vscode,2016-09-21T11:37:47Z,1,3,TypeScript,True,True,mit
orta,docsearch-configs,2019-11-03T13:52:11Z,0,2,Shell,True,True,mit
orta,orta-types-web-globals,2021-12-06T15:25:44Z,1,2,,True,True,
orta,three.js,2021-12-03T09:31:14Z,1,1,JavaScript,True,True,mit
orta,find-replace-webpack-plugin,2021-12-02T14:32:05Z,0,1,JavaScript,True,True,
orta,danger-junit,2016-07-30T01:35:36Z,58,3,Ruby,True,False,mit
orta,relay-1,2021-11-22T21:51:12Z,1,1,TypeScript,True,True,
orta,esbuild.github.io,2021-11-20T14:42:26Z,0,1,JavaScript,True,True,
mrackwitz,xcconfigs,2015-06-13T06:53:47Z,250,10,,True,True,mit
orta,redwood-app-connections,2021-11-13T19:41:04Z,1,2,TypeScript,True,True,mit
orta,auto-release,2019-01-02T18:20:34Z,0,3,TypeScript,True,True,mit
orta,redwoodjs.com,2021-10-13T12:49:10Z,0,1,HTML,True,True,
orta,swift-distributed-actors,2021-10-29T12:25:08Z,0,1,Swift,True,False,apache-2.0
orta,type-or-treat-npm-module,2021-10-22T13:24:34Z,0,2,,True,True,
orta,octokit-esm-node-ts45,2021-10-12T16:47:30Z,0,2,JavaScript,True,True,
orta,learn.redwoodjs.com,2021-10-11T11:50:13Z,0,1,JavaScript,True,True,
orta,schemastore,2017-05-19T08:19:50Z,0,3,JavaScript,True,True,apache-2.0
orta,jest,2016-10-25T06:29:12Z,0,3,JavaScript,True,True,other
orta,TSJS-lib-generator,2019-07-23T13:25:17Z,0,2,TypeScript,True,True,apache-2.0
orta,type-noops,2021-09-30T15:45:20Z,5,2,,True,True,
orta,encites,2021-09-27T16:10:01Z,0,1,JavaScript,True,True,mit
orta,typescript-api-shim,2021-08-24T18:59:13Z,6,3,JavaScript,True,True,
orta,TypeScript-Playground-Gist-API-Proxy,2021-09-19T09:32:07Z,6,2,TypeScript,True,True,
orta,ts-2-col-tester,2021-09-08T18:55:57Z,3,2,TypeScript,True,True,mit
orta,vscode-jsrdbg,2021-08-31T12:11:07Z,1,2,TypeScript,True,True,
orta,read-package-json,2020-07-15T19:57:40Z,0,2,JavaScript,True,False,isc
orta,peril-systems-gatsby,2018-06-09T22:49:45Z,0,3,TypeScript,True,True,other
orta,markdown.js,2021-09-17T16:20:24Z,0,1,JavaScript,True,False,mit
orta,data.jsdelivr.com,2021-08-24T16:24:47Z,0,1,JavaScript,True,True,osl-3.0
orta,snake-in-typescript,2020-05-22T10:41:19Z,11,5,Lua,True,True,
orta,installer,2021-08-07T09:30:47Z,0,1,Vala,True,True,gpl-3.0
